epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
58,1658.19,0.67048,0.87776,0.4339,1.06597,0,1,0.987,0.99488,0.85981,1,0.987,0.99488,0.84387,0.56744,0.41735,0.35359,1.06013,0,0.0008714,0.0008714,0.0008714
59,1688.06,0.69009,0.92079,0.44308,1.08036,0,0.98777,0.98467,0.99233,0.87025,0.98777,0.98467,0.99233,0.85688,0.56096,0.39243,0.34331,1.05924,0,0.0008516,0.0008516,0.0008516
60,1718.12,0.68718,0.88671,0.43235,1.08909,0,1,0.99879,0.995,0.86441,1,0.99879,0.995,0.84742,0.56913,0.35826,0.34125,1.0511,0,0.0008318,0.0008318,0.0008318
61,1749.47,0.65328,0.8383,0.40641,1.0553,0,0.99927,1,0.995,0.87886,0.99927,1,0.995,0.86524,0.53607,0.39245,0.32501,1.04235,0,0.000812,0.000812,0.000812
62,1778.07,0.69167,0.8791,0.43728,1.08848,0,0.99918,1,0.995,0.85856,0.99918,1,0.995,0.86776,0.57817,0.3731,0.33981,1.05296,0,0.0007922,0.0007922,0.0007922
63,1807.09,0.63329,0.83672,0.40954,1.06097,0,0.98721,1,0.9938,0.87324,0.98721,1,0.9938,0.85978,0.55905,0.37217,0.32317,1.0636,0,0.0007724,0.0007724,0.0007724
64,1835.6,0.64924,0.85311,0.40286,1.0523,0,0.99918,1,0.995,0.87336,0.99918,1,0.995,0.86776,0.53417,0.4899,0.31025,1.03544,0,0.0007526,0.0007526,0.0007526
65,1862.53,0.65628,0.85698,0.41308,1.0665,0,0.97615,0.99841,0.99452,0.87164,0.97615,0.99841,0.99452,0.84794,0.53497,0.38879,0.31841,1.03643,0,0.0007328,0.0007328,0.0007328
66,1892.46,0.66357,0.85085,0.40972,1.07137,0,1,0.99904,0.995,0.87463,1,0.99904,0.995,0.85217,0.50827,0.48366,0.30397,1.02943,0,0.000713,0.000713,0.000713
67,1923.09,0.64003,0.85467,0.40067,1.04522,0,0.99871,1,0.995,0.8842,0.99871,1,0.995,0.86115,0.51334,0.45421,0.30188,1.01614,0,0.0006932,0.0006932,0.0006932
68,1952.09,0.65155,0.87022,0.39916,1.06931,0,0.99926,1,0.995,0.87,0.99926,1,0.995,0.85143,0.54544,0.40026,0.30286,1.02792,0,0.0006734,0.0006734,0.0006734
69,1978.7,0.62519,0.84992,0.41151,1.06089,0,1,0.99918,0.995,0.85437,1,0.99918,0.995,0.85262,0.58895,0.46142,0.30756,1.07135,0,0.0006536,0.0006536,0.0006536
70,2006.01,0.63448,0.81548,0.4021,1.04879,0,0.99865,1,0.995,0.85801,0.99865,1,0.995,0.85869,0.57856,0.44647,0.31503,1.07595,0,0.0006338,0.0006338,0.0006338
71,2033.53,0.63495,0.8506,0.39953,1.05974,0,0.99913,1,0.995,0.87552,0.99913,1,0.995,0.86152,0.5358,0.36836,0.32199,1.03685,0,0.000614,0.000614,0.000614
72,2060.77,0.5931,0.76025,0.37443,1.03844,0,0.99916,1,0.995,0.8829,0.99916,1,0.995,0.86208,0.50761,0.40197,0.28724,1.01604,0,0.0005942,0.0005942,0.0005942
73,2088.19,0.61076,0.79148,0.37804,1.04589,0,0.99922,1,0.995,0.87062,0.99922,1,0.995,0.85496,0.54219,0.40382,0.29881,1.04961,0,0.0005744,0.0005744,0.0005744
74,2115.46,0.61004,0.81699,0.38923,1.04241,0,0.99793,1,0.995,0.87485,0.99793,1,0.995,0.86613,0.50961,0.36708,0.30369,1.02679,0,0.0005546,0.0005546,0.0005546
75,2142.74,0.58732,0.77669,0.37619,1.04101,0,0.99907,1,0.995,0.87873,0.99907,1,0.995,0.86262,0.54263,0.39504,0.29872,1.03651,0,0.0005348,0.0005348,0.0005348
76,2170.66,0.61342,0.85576,0.38663,1.0452,0,0.99928,1,0.995,0.8708,0.99928,1,0.995,0.85933,0.51767,0.42689,0.29406,1.02227,0,0.000515,0.000515,0.000515
77,2198.19,0.5793,0.77134,0.36269,1.01654,0,0.99902,1,0.995,0.85834,0.99902,1,0.995,0.85514,0.54072,0.42891,0.30889,1.04537,0,0.0004952,0.0004952,0.0004952
78,2226.21,0.58926,0.80218,0.37399,1.03316,0,0.99984,1,0.995,0.88053,0.99984,1,0.995,0.87279,0.51354,0.47135,0.28919,1.02648,0,0.0004754,0.0004754,0.0004754
79,2253.91,0.5736,0.71999,0.36505,1.01156,0,0.98693,1,0.99476,0.87749,0.98693,1,0.99476,0.86825,0.51272,0.46699,0.29231,1.03683,0,0.0004556,0.0004556,0.0004556
80,2282.03,0.57836,0.73059,0.36071,1.02568,0,0.98698,1,0.99488,0.86828,0.98698,1,0.99488,0.85661,0.55433,0.44796,0.30056,1.05718,0,0.0004358,0.0004358,0.0004358
81,2309.45,0.56608,0.72076,0.34983,1.01998,0,1,0.99884,0.995,0.87198,1,0.99884,0.995,0.8699,0.5246,0.40368,0.29218,1.04204,0,0.000416,0.000416,0.000416
82,2337.03,0.56963,0.79065,0.36883,1.02995,0,1,0.98466,0.99354,0.87927,1,0.98466,0.99354,0.86837,0.49979,0.38281,0.29222,1.02925,0,0.0003962,0.0003962,0.0003962
83,2364.92,0.58058,0.7363,0.37479,1.03522,0,1,0.9999,0.995,0.88548,1,0.9999,0.995,0.86424,0.50604,0.43975,0.28874,1.04478,0,0.0003764,0.0003764,0.0003764
84,2393.08,0.55402,0.72312,0.35991,1.02657,0,0.99917,1,0.995,0.87321,0.99917,1,0.995,0.85654,0.5367,0.44589,0.29524,1.05378,0,0.0003566,0.0003566,0.0003566
85,2420.23,0.54836,0.68526,0.35564,1.0155,0,0.99984,1,0.995,0.87639,0.99984,1,0.995,0.8825,0.53792,0.45098,0.2924,1.04885,0,0.0003368,0.0003368,0.0003368
86,2447.43,0.5395,0.72194,0.33826,1.00612,0,0.99964,1,0.995,0.87801,0.99964,1,0.995,0.86398,0.52475,0.41706,0.28791,1.05757,0,0.000317,0.000317,0.000317
87,2475.12,0.56567,0.75835,0.34676,1.02251,0,1,0.99912,0.995,0.87926,1,0.99912,0.995,0.86859,0.50891,0.42052,0.28184,1.03336,0,0.0002972,0.0002972,0.0002972
88,2503.07,0.52885,0.7739,0.34321,1.01208,0,0.99997,0.9878,0.99488,0.88746,0.99997,0.9878,0.99488,0.87794,0.50273,0.41834,0.29024,1.02697,0,0.0002774,0.0002774,0.0002774
89,2531.82,0.52815,0.70365,0.33547,1.004,0,0.99965,0.9878,0.99488,0.87341,0.99965,0.9878,0.99488,0.8616,0.52709,0.42923,0.28085,1.05275,0,0.0002576,0.0002576,0.0002576
90,2559.2,0.55937,0.75346,0.34966,1.02876,0,1,0.99616,0.995,0.87805,1,0.99616,0.995,0.866,0.51684,0.40808,0.29246,1.04835,0,0.0002378,0.0002378,0.0002378
91,2583.41,0.49958,0.6398,0.30935,1.0631,0,1,0.99981,0.995,0.87423,1,0.99981,0.995,0.85377,0.5488,0.44116,0.29307,1.05112,0,0.000218,0.000218,0.000218
92,2608.74,0.44279,0.56566,0.27638,1.02386,0,1,0.99607,0.995,0.874,1,0.99607,0.995,0.8645,0.51678,0.44795,0.29143,1.04173,0,0.0001982,0.0001982,0.0001982
93,2632.58,0.43049,0.55035,0.26653,1.00974,0,0.98688,1,0.99488,0.88118,0.98688,1,0.99488,0.87479,0.50461,0.43937,0.28457,1.03763,0,0.0001784,0.0001784,0.0001784
94,2658.01,0.41554,0.54788,0.25907,0.99593,0,0.99892,1,0.995,0.87536,0.98723,1,0.99488,0.86636,0.52298,0.46487,0.26968,1.05175,0,0.0001586,0.0001586,0.0001586
95,2682.8,0.42255,0.53718,0.26372,0.99698,0,1,0.99973,0.995,0.87933,0.99906,0.9878,0.99476,0.86781,0.50936,0.46064,0.27109,1.04499,0,0.0001388,0.0001388,0.0001388
96,2707.39,0.40043,0.51411,0.25528,0.9851,0,1,0.98734,0.99488,0.8859,1,0.98734,0.99488,0.86896,0.4968,0.44361,0.26119,1.04109,0,0.000119,0.000119,0.000119
97,2731.8,0.40472,0.51737,0.25025,0.97176,0,0.99955,0.9878,0.99488,0.88133,0.99955,0.9878,0.99488,0.86495,0.49922,0.42134,0.26608,1.04198,0,9.92e-05,9.92e-05,9.92e-05
98,2756.95,0.40089,0.52323,0.24886,0.97658,0,0.98786,1,0.99488,0.88889,0.98786,1,0.99488,0.87139,0.49488,0.43669,0.26515,1.03521,0,7.94e-05,7.94e-05,7.94e-05
99,2781.88,0.38345,0.50245,0.23894,0.9569,0,0.98731,1,0.99488,0.88951,0.98731,1,0.99488,0.87527,0.49423,0.44427,0.26733,1.03898,0,5.96e-05,5.96e-05,5.96e-05
100,2806.53,0.3992,0.51955,0.24877,0.99117,0,0.98735,1,0.99476,0.88052,0.98735,1,0.99476,0.87926,0.49803,0.45393,0.27868,1.03905,0,3.98e-05,3.98e-05,3.98e-05
