epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
74,1129.71,0.62028,0.8093,0.42039,1.02222,0,0.99809,1,0.995,0.84138,0.99809,1,0.995,0.80672,0.49769,0.42102,0.34201,1.03374,0,0.0005546,0.0005546,0.0005546
75,1143.41,0.62243,0.8025,0.43101,1.03784,0,0.9476,1,0.98799,0.81996,0.9476,1,0.98799,0.8238,0.54851,0.41287,0.38663,1.03368,0,0.0005348,0.0005348,0.0005348
76,1155.87,0.58696,0.79707,0.43396,1.01922,0,0.94868,1,0.98861,0.82256,0.94868,1,0.98861,0.81731,0.53949,0.38667,0.38978,1.05926,0,0.000515,0.000515,0.000515
77,1168.08,0.60321,0.80764,0.41568,1.02893,0,1,0.99929,0.995,0.85194,1,0.99929,0.995,0.83438,0.51165,0.40158,0.35732,1.04152,0,0.0004952,0.0004952,0.0004952
78,1181.37,0.59081,0.85665,0.41677,1.00146,0,0.99991,1,0.995,0.82859,0.99991,1,0.995,0.83066,0.52598,0.43787,0.34733,1.03777,0,0.0004754,0.0004754,0.0004754
79,1194.92,0.58351,0.80961,0.41459,1.02297,0,1,0.99851,0.995,0.83091,1,0.99851,0.995,0.80966,0.50899,0.45935,0.34378,1.03103,0,0.0004556,0.0004556,0.0004556
80,1208.12,0.58061,0.82784,0.39916,1.00091,0,0.99842,1,0.995,0.82379,0.99842,1,0.995,0.82843,0.53428,0.5095,0.33818,1.02901,0,0.0004358,0.0004358,0.0004358
81,1220.52,0.58491,0.80452,0.41357,1.00794,0,0.99845,1,0.995,0.8367,0.99845,1,0.995,0.83496,0.53655,0.48304,0.3213,1.044,0,0.000416,0.000416,0.000416
82,1234.05,0.57363,0.8514,0.4005,1.00653,0,0.99722,0.97297,0.99447,0.8407,0.99722,0.97297,0.99447,0.82413,0.54106,0.48277,0.33863,1.0408,0,0.0003962,0.0003962,0.0003962
83,1247.12,0.59454,0.82074,0.42392,1.00263,0,1,0.99836,0.995,0.84174,1,0.99836,0.995,0.83966,0.55174,0.47596,0.35037,1.05067,0,0.0003764,0.0003764,0.0003764
